pH,Fat,Lactose,Protein,Gravity,SNF,Temperature,Gas,EC,Class
6.87,7.20,4.74,3.66,29.00,8.65,17.43,196.44,2.97,Pure
6.58,6.05,4.87,3.59,28.39,8.37,21.09,210.64,3.19,Pure
6.71,6.60,5.31,3.62,29.41,8.50,18.24,191.44,2.82,Pure
6.46,8.14,4.92,3.63,28.49,8.04,25.36,207.63,3.27,Pure
6.58,7.81,4.66,3.57,28.61,8.68,25.56,209.94,3.38,Pure
6.73,6.60,5.01,3.77,28.98,8.97,15.11,203.42,3.27,Pure
6.49,6.05,4.84,3.87,29.96,8.18,25.44,205.94,2.80,Pure
6.64,7.75,4.56,3.84,28.05,8.54,16.85,198.59,2.77,Pure
6.45,7.63,4.72,3.90,28.55,8.47,25.03,200.03,3.30,Pure
6.55,6.20,5.40,3.98,28.38,8.97,19.37,208.5,2.72,Pure
6.51,6.90,4.84,3.75,29.47,8.87,17.15,194.33,2.60,Pure
6.45,5.66,5.03,3.92,29.88,8.79,18.36,192.14,2.81,Pure
6.82,7.55,4.79,3.93,28.30,8.54,23.29,193.05,3.01,Pure
6.65,8.41,4.62,3.97,28.48,8.22,18.67,198.17,3.31,Pure
6.44,7.15,5.03,3.88,28.62,8.68,25.36,192.68,3.01,Pure
6.44,7.00,4.87,3.73,29.63,8.01,27.62,202.14,2.86,Pure
6.58,8.28,4.73,3.54,30.00,9.00,24.11,206.84,3.23,Pure
6.73,5.79,4.79,3.53,28.23,8.19,17.26,198.42,3.32,Pure
6.83,6.25,4.74,3.77,28.29,8.85,24.2,198.67,3.13,Pure
6.68,6.69,4.77,3.81,28.62,8.19,21.83,210.31,3.33,Pure
6.54,7.29,4.96,3.73,28.49,8.21,23.83,206.84,3.37,Pure
6.63,6.10,4.67,3.90,28.76,8.25,17.77,193.42,3.14,Pure
6.55,7.45,5.08,3.80,29.99,8.09,17.48,196.73,2.95,Pure
6.83,6.94,5.28,3.53,29.77,8.63,22.84,208.74,3.27,Pure
6.45,7.91,5.20,3.95,29.17,8.38,20.56,205.56,3.15,Pure
6.73,5.88,5.14,3.52,28.83,8.20,22.75,193.38,3.03,Pure
6.86,6.76,5.40,3.87,29.89,8.24,26.21,197.22,3.25,Pure
6.73,7.29,4.68,3.89,28.09,8.12,22.46,198.79,3.21,Pure
6.62,6.09,5.23,3.75,29.37,8.29,19.12,200.98,3.30,Pure
6.51,6.41,4.81,3.76,28.76,8.59,21.18,204.94,2.82,Pure
6.79,6.70,4.83,3.74,28.82,8.93,19.07,200.53,2.81,Pure
6.58,5.50,4.96,3.72,28.71,8.41,24.04,195.36,2.90,Pure
6.74,8.45,4.77,3.88,28.97,8.13,16.7,192.31,2.73,Pure
6.58,8.41,5.03,3.55,28.34,8.50,17.74,206.06,3.26,Pure
6.84,7.06,5.43,3.77,28.55,8.12,21.79,195.61,2.50,Pure
6.82,8.19,5.08,3.88,28.54,8.56,27.55,211.1,3.00,Pure
6.68,5.93,4.88,3.93,29.83,8.57,24.02,206.84,3.43,Pure
6.84,7.91,4.86,3.71,29.99,8.68,16.03,211.1,2.83,Pure
6.56,6.75,4.59,3.64,28.17,8.72,23.49,195.03,3.18,Pure
6.47,6.58,4.76,3.79,29.01,8.35,20.91,202.34,3.03,Pure
6.81,6.67,4.50,3.87,29.59,8.16,26.13,196.52,3.13,Pure
6.86,5.96,4.59,3.99,28.49,8.30,22.11,199.53,2.55,Pure
6.86,8.24,5.47,3.82,28.31,8.34,21.35,202.88,3.12,Pure
6.64,5.55,4.97,3.94,29.06,8.07,16.26,194,3.17,Pure
6.44,6.10,4.54,3.74,29.25,8.82,19.88,199.74,2.68,Pure
6.50,5.68,5.18,3.56,28.56,8.51,15.4,206.51,2.64,Pure
6.61,5.51,5.01,3.69,29.89,8.97,25.08,208.58,3.27,Pure
6.82,8.23,4.97,3.56,28.23,8.85,24.07,196.44,3.26,Pure
6.43,5.56,5.35,3.56,28.85,8.11,25.53,194.29,3.17,Pure
6.79,6.03,5.26,3.62,29.21,8.50,22.6,210.02,2.57,Pure
6.89,8.47,4.51,3.79,29.39,8.18,26.46,210.64,3.25,Pure
6.77,8.18,5.01,3.98,29.79,8.29,16.25,202.1,3.49,Pure
6.68,6.94,4.80,3.91,28.05,8.60,18.07,203.21,3.26,Pure
6.76,6.05,4.83,3.54,28.98,8.38,27.84,194.46,2.80,Pure
6.73,5.68,4.69,3.84,28.31,8.07,15.39,199.2,2.72,Pure
6.51,8.07,4.96,3.55,28.06,8.41,22.41,199.41,2.55,Pure
6.47,6.01,5.25,3.97,29.59,8.01,17.55,202.14,3.14,Pure
6.44,8.42,5.16,3.50,29.60,8.88,26.03,200.03,2.91,Pure
6.58,6.18,4.65,3.52,28.01,8.73,16.43,204.16,2.61,Pure
6.44,7.66,5.18,3.83,28.03,8.59,25.1,195.65,2.73,Pure
6.72,8.17,5.14,3.76,28.40,8.04,26.55,205.52,2.83,Pure
6.87,8.08,5.22,3.66,29.75,8.67,24.27,191.9,3.31,Pure
6.64,7.51,5.35,3.95,28.33,8.80,22.82,207.96,3.10,Pure
6.47,6.24,4.66,3.86,29.80,8.20,20.39,198.54,2.51,Pure
6.65,6.87,4.51,3.66,29.09,8.01,26.68,207.26,2.72,Pure
6.75,7.55,5.09,3.86,29.30,8.65,25.26,200.2,2.63,Pure
6.83,5.59,5.07,3.70,28.74,8.21,27.17,203.79,3.41,Pure
6.43,7.00,4.89,3.78,29.52,8.86,18.06,196.97,3.32,Pure
6.58,5.73,4.74,3.60,29.52,8.29,24.39,200.15,2.52,Pure
6.80,6.84,4.88,3.81,29.46,8.67,27.66,203.17,3.15,Pure
6.66,6.28,5.42,3.89,29.57,8.84,25.6,191.9,2.80,Pure
6.86,8.02,4.67,3.50,29.30,8.34,16.99,210.81,3.28,Pure
6.47,7.61,4.62,3.91,29.52,8.75,22.32,209.49,2.71,Pure
6.86,8.27,4.74,3.67,28.58,8.62,20.75,205.03,3.24,Pure
6.46,6.80,5.27,4.00,28.45,8.89,18.85,196.69,2.83,Pure
6.78,7.54,4.80,3.91,28.95,8.77,22.75,208.54,3.00,Pure
6.85,8.30,4.82,3.59,28.44,8.44,25.4,191.9,3.28,Pure
6.86,5.76,5.00,3.91,28.49,8.95,22.42,198.63,3.48,Pure
6.48,8.11,5.07,3.58,28.50,8.73,27,204.16,3.08,Pure
6.42,5.89,4.63,3.66,29.92,8.86,20.41,197.47,2.64,Pure
6.54,7.82,5.34,3.61,28.56,8.68,24.86,202.01,2.74,Pure
6.54,8.36,4.82,3.99,28.60,8.38,26.12,200.15,2.93,Pure
6.73,7.80,4.79,3.53,28.58,8.07,16.77,200.69,2.73,Pure
6.67,7.63,5.13,3.79,28.29,8.54,25.82,198.21,3.05,Pure
6.89,7.97,4.86,3.62,28.49,8.09,18.9,198.34,2.67,Pure
6.77,7.39,5.39,3.91,28.94,8.48,23.2,198.96,3.43,Pure
6.84,6.71,4.84,3.91,29.54,8.49,16.45,207.5,3.34,Pure
6.46,7.76,4.60,3.65,28.61,8.01,17.21,201.02,2.88,Pure
6.59,8.40,5.35,3.75,29.62,8.58,21.74,192.14,2.99,Pure
6.63,7.61,4.53,3.72,28.55,8.82,21.44,208.04,3.46,Pure
6.54,6.03,5.35,3.60,28.45,8.49,16.88,203.58,3.45,Pure
6.70,7.69,5.30,3.92,28.47,8.97,22.08,197.59,3.40,Pure
6.85,7.69,5.22,3.86,29.13,8.94,15.6,195.12,2.60,Pure
6.62,7.09,5.31,3.87,29.80,8.21,25.59,204.08,3.00,Pure
6.59,6.41,4.99,3.82,28.12,8.65,20.05,196.4,2.65,Pure
6.61,8.07,4.69,3.64,29.13,8.83,24.2,192.39,3.20,Pure
6.87,7.06,5.23,3.76,29.36,8.52,16.62,208.41,2.90,Pure
6.79,7.77,4.73,3.89,29.25,8.46,25.83,210.52,2.93,Pure
6.50,6.72,5.08,3.72,28.00,8.76,23.1,195.24,3.35,Pure
6.47,6.10,4.70,3.72,28.43,8.72,22.49,197.06,3.13,Pure
6.61,6.57,5.39,3.89,29.60,8.80,18.64,208.12,3.24,Pure
6.55,6.64,5.19,3.95,28.96,8.29,17.54,208.7,3.35,Pure
6.43,7.68,5.05,3.61,29.83,8.99,24.46,210.85,2.83,Pure
6.70,5.77,4.82,3.57,28.36,8.40,19.1,210.89,2.73,Pure
6.64,8.27,5.20,3.96,28.31,8.78,21.14,207.13,3.33,Pure
6.45,7.74,5.48,3.90,29.59,8.34,27.47,195.57,3.00,Pure
6.47,7.11,4.93,3.54,28.53,8.41,24.17,200.03,2.61,Pure
6.53,7.95,4.90,3.88,28.91,8.82,20.77,207.5,3.38,Pure
6.51,8.45,5.45,3.57,28.09,8.59,27.15,192.1,3.06,Pure
6.64,8.41,4.69,3.79,29.68,8.37,19.5,205.89,3.45,Pure
6.80,7.70,5.03,3.83,29.42,8.30,24.28,203.75,2.85,Pure
6.79,6.29,4.80,3.96,29.62,8.03,16.73,204.78,3.18,Pure
6.78,5.92,4.81,3.53,29.41,8.68,27,207.09,2.60,Pure
6.50,6.31,4.71,3.86,29.31,8.41,22.85,195.57,3.22,Pure
6.57,7.88,4.56,3.80,28.24,8.45,18.68,201.48,2.55,Pure
6.74,7.44,5.39,3.95,29.42,8.90,26.12,200.61,3.25,Pure
6.46,8.14,5.49,3.57,29.91,8.84,21.81,208.62,3.36,Pure
6.64,6.70,5.45,3.66,29.70,8.78,18.43,205.15,2.62,Pure
6.65,6.34,4.98,3.55,29.13,8.12,18.73,204.57,2.61,Pure
6.78,6.90,5.01,3.68,29.99,8.04,21.66,193.26,2.58,Pure
6.55,5.67,4.74,3.62,29.28,8.71,22.73,207.55,3.04,Pure
6.41,6.05,5.15,3.83,28.09,8.18,20.81,203.04,2.99,Pure
6.86,7.08,4.65,3.72,29.77,8.53,26.86,197.3,2.67,Pure
6.56,7.31,5.01,3.66,29.75,8.53,24.01,205.89,2.95,Pure
6.59,8.28,4.78,3.77,28.76,8.79,25.94,201.06,3.32,Pure
6.86,7.21,5.33,3.53,29.88,8.84,25.66,206.93,2.95,Pure
6.75,6.03,5.19,3.70,29.54,8.76,21.38,206.93,2.92,Pure
6.89,5.91,5.32,3.54,29.78,8.50,15.22,202.92,2.77,Pure
6.83,6.65,4.77,3.51,28.89,8.06,20.58,209.9,2.62,Pure
6.63,5.80,4.77,3.73,28.72,8.64,26.16,195.57,3.21,Pure
6.47,8.21,4.68,3.54,28.29,8.02,25.23,192.72,3.48,Pure
6.76,7.22,4.67,3.77,28.12,8.77,23.96,200.4,3.15,Pure
6.79,6.44,5.02,3.95,28.63,8.98,21.79,203.83,2.91,Pure
6.56,6.32,4.87,3.64,29.93,8.96,27.94,193.96,3.08,Pure
6.75,7.43,4.93,3.59,29.51,8.02,24.26,202.63,3.34,Pure
6.46,6.71,4.59,3.70,29.70,8.92,17.44,207.42,2.82,Pure
6.47,6.83,5.24,3.68,28.63,8.84,16.96,193.96,2.82,Pure
6.75,7.19,4.90,3.94,28.69,8.93,24.46,198.92,2.91,Pure
6.46,8.19,4.63,3.67,29.02,8.46,25.81,204.7,2.81,Pure
6.76,5.54,4.57,3.59,28.90,8.72,15.4,197.55,2.67,Pure
6.71,7.10,4.87,3.83,29.45,8.55,19.36,207.05,3.15,Pure
6.40,8.30,5.47,3.56,29.43,8.85,26.21,203.5,3.23,Pure
6.66,8.24,4.90,3.95,28.17,8.22,19.67,201.19,2.69,Pure
6.57,6.61,5.18,3.74,29.02,8.84,24.57,204.9,3.41,Pure
6.60,8.01,4.91,3.84,28.60,8.34,17.91,209.69,2.80,Pure
6.75,6.28,5.44,3.74,29.61,8.84,26.97,191.94,3.45,Pure
6.49,6.10,4.87,3.86,28.84,8.09,18.23,199.25,2.56,Pure
6.73,7.22,4.56,3.79,28.97,8.97,25.22,207.67,2.54,Pure
6.63,6.09,4.70,3.71,29.73,8.40,22.32,199.25,3.00,Pure
6.41,6.36,5.15,3.98,28.08,8.92,18.8,199.12,3.35,Pure
6.53,6.70,4.65,3.94,29.37,8.64,23.03,202.38,2.84,Pure
6.66,8.17,4.77,3.51,29.46,8.85,20.02,192.1,3.39,Pure
6.69,7.35,5.18,3.51,29.03,8.92,22.98,210.15,3.38,Pure
6.44,6.31,4.81,3.60,29.70,8.40,17.57,191.65,2.76,Pure
6.71,8.06,5.45,3.74,28.33,8.25,16.45,200.2,2.71,Pure
6.65,7.21,5.22,3.80,28.70,8.43,16.43,190.95,2.79,Pure
6.88,7.94,5.17,3.67,28.02,8.25,27.79,205.03,3.31,Pure
6.85,8.35,5.11,3.70,28.39,8.57,28.02,199.7,3.22,Pure
6.77,6.13,5.33,3.59,28.77,8.91,16.45,209.94,2.64,Pure
6.41,6.87,5.17,3.60,28.21,8.82,27.28,193.55,2.80,Pure
6.70,6.19,5.03,3.81,29.96,8.87,21.52,196.69,3.10,Pure
6.72,5.90,5.14,3.54,28.04,8.56,19.76,209.12,3.14,Pure
6.65,7.74,5.39,3.94,29.83,8.22,17.46,193.71,2.95,Pure
6.59,6.16,4.75,3.63,28.44,8.29,16.68,203.83,2.54,Pure
6.55,6.45,4.79,3.89,28.71,8.16,20.73,204.33,2.87,Pure
6.68,6.72,5.23,3.92,29.34,8.93,24.3,196.36,3.21,Pure
6.72,8.06,4.90,3.78,29.90,8.65,22.5,211.22,2.51,Pure
6.66,6.24,4.73,3.91,28.85,8.50,22.28,199.82,3.35,Pure
6.81,5.94,5.42,3.72,28.47,8.65,16.16,201.27,2.64,Pure
6.61,5.58,5.24,3.55,29.35,8.87,21.53,204.57,2.71,Pure
6.75,5.74,5.04,3.75,28.31,8.35,24.13,197.92,2.87,Pure
6.54,6.02,5.22,3.58,28.13,8.27,24.82,194.83,3.46,Pure
6.64,7.31,4.61,3.86,29.07,8.63,23.41,211.14,3.43,Pure
6.66,6.09,4.58,3.84,28.07,8.01,25.92,202.88,3.33,Pure
6.45,5.55,4.53,3.61,29.01,8.23,25.27,198.09,3.21,Pure
6.90,8.28,5.11,3.61,29.13,8.53,23.89,197.22,2.87,Pure
6.63,5.91,4.67,3.61,29.84,8.12,22.65,200.11,3.43,Pure
6.65,7.09,5.25,3.81,28.15,8.26,20.19,203.09,2.86,Pure
6.88,6.91,4.73,3.72,28.03,8.70,21.39,200.15,2.56,Pure
6.47,7.61,5.09,3.90,28.48,8.25,27.84,207.84,2.75,Pure
6.74,7.57,4.79,3.58,28.37,8.79,17.6,208,2.61,Pure
6.80,6.05,5.41,3.85,29.98,8.59,19.72,210.44,2.51,Pure
6.48,6.60,4.82,3.56,29.31,8.48,23.33,206.02,3.34,Pure
6.85,8.37,4.88,3.77,28.99,8.07,27.43,191.07,2.70,Pure
6.81,7.90,5.26,3.88,29.38,8.03,27.73,191.32,3.15,Pure
6.85,8.14,5.19,3.92,28.96,8.60,16.18,206.1,2.62,Pure
6.63,7.27,5.49,3.96,28.20,8.01,22.47,196.77,2.75,Pure
6.68,8.23,4.65,3.98,29.27,8.58,24.3,207.22,3.03,Pure
6.42,7.43,4.62,3.63,28.92,8.94,22.09,203.33,2.72,Pure
6.71,5.98,5.32,3.68,29.93,8.09,16.82,203.5,3.46,Pure
6.41,6.67,5.22,3.86,29.24,8.75,18.77,202.18,2.91,Pure
6.75,7.17,4.75,3.71,28.62,8.27,23.76,206.76,2.59,Pure
6.87,7.72,4.67,3.60,29.66,8.79,16.49,199.04,3.28,Pure
6.44,8.27,4.95,3.65,28.77,8.58,19.18,199.33,3.09,Pure
6.59,6.01,5.42,3.62,28.54,8.64,17.33,200.2,3.45,Pure
6.72,5.99,4.78,3.68,29.84,8.19,24.76,192.56,3.27,Pure
6.44,7.09,4.56,3.57,28.16,8.84,20.47,200.77,2.92,Pure
6.44,7.06,4.91,3.78,28.63,8.49,24.3,196.64,3.18,Pure
6.66,7.07,4.85,3.63,29.42,8.43,19.24,192.18,2.74,Pure
6.52,6.56,5.48,3.94,29.52,8.69,18.17,210.02,3.39,Pure
6.67,7.06,4.64,3.93,28.37,8.29,16.51,204.08,2.52,Pure
6.41,6.96,5.13,3.66,28.27,8.14,25.26,210.48,2.59,Pure
6.81,8.33,5.28,3.73,28.76,8.15,24.2,194.29,2.59,Pure
6.45,5.74,5.04,3.61,29.99,8.98,22.24,191.32,3.04,Pure
6.83,6.51,5.44,3.88,28.18,8.78,20.83,192.8,3.39,Pure
6.88,7.02,4.62,3.78,28.68,8.86,23.33,206.55,2.66,Pure
6.88,7.69,4.73,3.84,28.09,8.67,16.21,193.13,3.42,Pure
6.84,5.98,4.74,3.65,28.83,8.46,26.65,207.3,3.32,Pure
6.56,7.29,5.35,3.92,29.97,8.95,23.44,204.16,3.37,Pure
6.56,8.20,4.53,3.70,29.50,8.37,25.9,208.7,3.33,Pure
6.80,6.25,4.82,3.92,29.63,8.59,22.03,208.04,2.87,Pure
6.69,7.75,4.89,3.72,29.37,8.03,20.58,207.09,3.27,Pure
6.74,6.44,4.52,3.50,29.68,8.11,27.37,198.83,2.59,Pure
6.52,6.01,5.06,3.74,29.24,8.78,23.41,209.94,2.71,Pure
6.60,6.30,5.43,3.86,28.33,8.64,26.64,207.5,2.64,Pure
6.63,7.19,4.79,3.50,28.59,8.47,23.12,197.59,2.75,Pure
6.44,6.01,5.11,3.90,28.28,8.08,25.32,195.61,2.89,Pure
6.58,8.32,5.48,3.66,28.25,8.22,23.55,192.76,3.34,Pure
6.82,7.41,4.86,3.95,29.06,8.78,24.22,209.57,2.59,Pure
6.74,7.88,5.22,3.95,28.81,8.39,27.6,207.34,3.18,Pure
6.64,7.85,4.86,3.83,29.12,8.79,21.53,199.99,3.19,Pure
6.85,5.75,5.15,3.96,28.03,8.14,27.71,208.78,2.50,Pure
6.61,5.61,5.39,3.69,29.51,8.91,18.07,205.44,3.13,Pure
6.48,7.61,4.60,3.57,28.50,8.80,20.74,202.71,2.58,Pure
6.59,7.28,5.04,3.58,29.98,8.81,22.85,206.8,3.03,Pure
6.50,6.90,5.12,3.59,28.36,8.03,25.19,202.43,3.31,Pure
6.54,6.67,5.36,3.86,28.96,8.68,27.63,203.95,2.55,Pure
6.50,6.01,5.15,3.65,29.90,8.24,18.47,208.37,2.67,Pure
6.88,7.63,5.00,3.54,28.02,8.79,16.79,201.64,2.98,Pure
6.67,6.99,5.07,4.00,29.67,8.69,16.05,210.35,3.42,Pure
6.47,7.58,4.81,3.66,29.23,8.92,23.68,203.99,3.12,Pure
6.80,6.33,5.29,3.62,29.61,8.70,18.59,193.01,3.20,Pure
6.42,8.36,4.56,3.88,28.73,8.95,18.94,195.94,3.26,Pure
6.53,5.65,4.89,3.90,29.77,8.41,19.09,210.15,2.72,Pure
6.70,7.78,4.89,3.68,28.72,8.67,21.05,198.34,2.96,Pure
6.44,8.11,5.32,3.80,28.06,8.38,22.84,204.2,2.74,Pure
6.72,6.85,4.55,3.98,28.03,8.94,24.18,194.08,2.99,Pure
6.62,6.84,5.22,3.78,29.68,8.59,18.29,210.4,3.45,Pure
6.50,6.00,4.52,3.76,28.45,8.14,20.18,203.25,2.97,Pure
6.50,6.57,5.00,3.90,29.47,8.99,15.78,205.73,2.76,Pure
6.69,6.95,4.97,3.99,29.48,8.88,19.93,193.88,3.21,Pure
6.63,5.54,5.08,3.72,28.35,8.77,28.05,191.9,3.00,Pure
6.81,5.94,4.54,3.76,28.36,8.33,27.9,194.41,3.15,Pure
6.72,6.92,5.00,3.61,29.84,8.72,26.57,195.03,3.48,Pure
6.54,6.73,4.64,3.90,28.22,8.80,21.03,202.47,2.97,Pure
6.89,8.45,4.79,3.70,29.87,8.40,15.75,209.78,2.93,Pure
6.62,6.71,5.14,3.73,29.19,8.10,24.37,191.23,3.11,Pure
6.86,6.38,4.71,3.92,29.06,9.00,21.4,211.39,2.77,Pure
6.53,7.23,5.26,3.89,29.88,8.97,18.56,208.25,3.07,Pure
6.80,6.49,4.58,3.73,29.62,8.71,17.86,210.15,2.82,Pure
6.71,7.25,5.46,3.54,29.18,8.12,19.14,194.62,2.98,Pure
6.64,8.47,4.60,3.57,28.86,8.67,16.4,191.61,3.04,Pure
6.88,5.90,4.68,3.66,29.33,8.22,15.79,200.07,3.03,Pure
6.73,7.78,4.71,3.78,29.08,8.48,23.12,202.51,3.18,Pure
6.89,6.74,4.65,3.54,29.76,8.69,24.96,199.82,3.26,Pure
6.45,7.75,5.35,3.64,29.21,8.57,27.72,200.73,3.20,Pure
6.76,7.49,4.80,3.51,28.37,8.52,24.11,196.89,3.14,Pure
6.86,7.60,4.58,3.80,28.75,8.01,21.09,200.57,2.73,Pure
6.68,7.06,5.01,3.96,28.08,8.71,18.86,206.06,2.65,Pure
6.57,8.21,4.89,3.82,29.94,8.33,23.42,205.73,3.28,Pure
6.61,5.62,5.05,3.61,28.93,8.64,23.84,200.61,3.21,Pure
6.71,5.81,5.43,3.57,28.26,8.56,18.23,196.44,3.21,Pure
6.57,7.41,5.11,3.78,28.23,8.30,27.19,196.73,2.59,Pure
6.80,5.84,5.24,3.81,29.11,8.63,19.26,207.17,2.82,Pure
6.63,6.00,4.88,3.94,28.71,8.66,17.16,194.95,2.55,Pure
6.70,6.43,5.25,3.52,28.98,8.80,22.11,211.01,3.05,Pure
6.85,6.19,4.88,3.92,29.49,8.38,22.88,191.32,2.73,Pure
6.60,7.23,5.12,3.91,28.69,8.89,25.51,191.36,3.28,Pure
6.62,7.56,5.33,3.72,28.93,8.77,25.49,208.78,3.00,Pure
6.62,6.74,4.65,3.68,28.47,8.32,18.33,210.68,2.58,Pure
6.85,7.38,4.82,3.87,28.54,8.24,18.72,196.44,2.75,Pure
6.64,7.75,4.52,3.53,28.36,8.29,25.61,203.79,3.34,Pure
6.52,6.98,4.66,3.69,28.90,8.85,17.25,197.84,2.90,Pure
6.63,8.02,4.61,3.56,28.86,8.00,24.87,208.33,2.54,Pure
6.41,6.73,4.67,3.67,29.84,8.30,18.64,207.3,2.59,Pure
6.43,6.72,4.67,3.71,29.16,8.30,20.18,208.04,2.96,Pure
6.48,8.35,5.03,3.93,28.05,8.89,20.92,208.21,3.45,Pure
6.58,6.61,4.55,3.64,29.89,8.74,19.97,190.99,2.74,Pure
6.59,7.88,5.05,3.57,29.19,8.58,19.15,191.11,2.93,Pure
6.61,6.94,5.22,3.57,28.12,8.74,17.15,206.68,2.70,Pure
6.85,8.26,4.90,3.55,29.55,8.53,17.17,210.89,3.43,Pure
6.76,8.06,4.82,3.78,29.61,8.61,21.46,210.31,3.40,Pure
6.67,6.21,5.00,3.92,28.50,8.87,21.33,204.16,3.35,Pure
6.48,6.52,5.11,3.86,29.19,8.10,17.65,193.75,2.93,Pure
6.45,6.93,4.73,3.73,29.33,8.10,17.03,194.7,2.69,Pure
6.57,6.86,4.69,3.97,28.11,8.51,22.63,197.14,3.09,Pure
6.53,6.82,4.78,3.81,28.25,8.52,27.64,192.72,2.80,Pure
6.67,8.22,4.93,3.74,28.17,8.89,21.39,204.12,3.35,Pure
6.89,7.48,4.75,3.92,29.44,8.10,26.12,191.36,2.78,Pure
6.61,5.78,5.09,3.99,29.61,8.56,18.73,204.04,2.59,Pure
6.47,7.04,4.61,3.74,28.17,8.87,25.66,210.27,3.48,Pure
6.87,8.25,4.68,3.86,28.33,8.61,22,196.23,3.33,Pure
6.48,6.66,4.75,3.68,29.29,8.86,18.66,202.96,3.40,Pure
6.79,8.49,5.17,3.64,29.78,8.67,22.95,210.07,2.59,Pure
6.57,8.50,5.08,3.65,29.21,8.55,27.27,198.75,2.69,Pure
6.55,8.15,4.97,3.85,29.16,8.61,21.86,206.84,3.01,Pure
6.67,5.63,5.09,3.53,29.12,8.19,16.53,203.91,2.80,Pure
6.59,7.26,4.71,3.55,29.15,8.30,18.51,205.4,3.17,Pure
6.46,7.59,5.32,3.79,29.94,8.07,20.01,206.93,3.43,Pure
6.51,7.49,5.41,3.64,28.07,8.87,20.78,206.6,3.15,Pure
